168,10,196,10,196,17,168,17
226,16,257,16,257,28,226,28
258,16,300,16,300,28,258,28
213,17,229,17,229,28,213,28
20,28,236,42,233,86,17,72
272,36,304,36,304,72,272,72
240,37,269,37,269,70,240,70
14,80,97,80,97,118,14,118
100,89,133,89,133,102,100,102
136,89,188,89,188,102,136,102
188,89,249,89,249,102,188,102
99,105,179,104,180,118,100,120
195,105,271,105,271,118,195,118
182,106,193,106,193,118,182,118
225,144,290,144,290,162,225,162
127,269,137,260,169,298,159,306
20,405,54,405,54,414,20,414
54,406,86,406,86,414,54,414
21,421,46,421,46,437,21,437
48,421,86,421,86,441,48,441
46,445,85,445,85,464,46,464
24,448,33,448,33,460,24,460
130,484,169,484,169,490,130,490
169,484,192,484,192,489,169,489
