12,12,44,12,44,26,12,26
45,12,70,12,70,26,45,26
105,12,154,12,154,26,105,26
206,12,238,12,238,24,206,24
72,12,104,14,103,28,71,26
10,34,80,34,80,62,10,62
90,31,161,42,157,70,86,59
11,67,108,73,107,91,9,85
112,70,138,70,138,86,112,86
140,70,197,70,197,89,140,89
178,100,220,92,223,103,180,111
45,106,64,106,64,116,45,116
62,106,85,106,85,116,62,116
195,109,230,104,231,114,197,119
10,108,45,108,45,116,10,116
173,110,196,110,196,122,173,122
30,116,66,116,66,125,30,125
10,117,29,117,29,126,10,126
12,129,48,129,48,138,12,138
49,129,62,129,62,138,49,138
64,129,80,129,80,138,64,138
21,140,34,140,34,148,21,148
36,140,60,140,60,148,36,148
10,141,20,141,20,148,10,148
61,149,74,149,74,158,61,158
10,150,45,150,45,158,10,158
46,150,60,150,60,158,46,158
21,160,34,160,34,168,21,168
34,160,57,160,57,168,34,168
10,161,20,161,20,168,10,168
10,168,37,170,37,179,10,177
37,169,68,169,68,177,37,177
68,169,81,169,81,178,68,178
84,169,96,169,96,177,84,177
10,180,20,180,20,188,10,188
21,180,34,180,34,188,21,188
36,180,61,180,61,188,36,188
33,189,65,189,65,197,33,197
65,189,78,189,78,197,65,197
81,189,96,189,96,197,81,197
12,190,33,190,33,197,12,197
10,200,18,200,18,205,10,205
21,200,34,200,34,206,21,206
36,200,53,200,53,206,36,206
36,212,65,212,65,220,36,220
65,212,88,212,88,220,65,220
29,220,61,222,61,232,28,230
12,222,29,222,29,229,12,229
61,222,86,222,86,230,61,230
12,232,58,232,58,240,12,240
58,232,82,232,82,240,58,240
12,242,40,242,40,250,12,250
41,242,66,242,66,250,41,250
10,252,49,252,49,260,10,260
49,252,68,252,68,260,49,260
69,252,98,252,98,260,69,260
48,261,81,261,81,269,48,269
12,262,45,262,45,269,12,269
28,272,53,272,53,280,28,280
32,280,58,280,58,289,32,289
10,281,29,281,29,289,10,289
58,281,74,281,74,289,58,289
74,281,93,281,93,289,74,289
12,290,30,290,30,300,12,300
32,290,48,290,48,298,32,298
49,290,84,290,84,298,49,298
12,301,40,301,40,310,12,310
41,300,71,302,70,311,40,309
29,310,64,310,64,320,29,320
65,310,81,310,81,318,65,318
10,321,36,321,36,329,10,329
37,321,56,321,56,329,37,329
12,330,28,330,28,338,12,338
29,330,52,330,52,338,29,338
53,330,77,330,77,338,53,338
9,414,29,414,29,426,9,426
29,414,68,414,68,426,29,426
90,452,136,452,136,461,90,461
147,453,203,451,204,461,148,463
206,452,228,452,228,461,206,461
137,453,146,453,146,461,137,461
108,462,168,462,168,473,108,473
169,459,225,462,225,475,168,472
89,464,106,464,106,472,89,472
90,474,126,474,126,484,90,484
128,474,138,474,138,484,128,484
140,474,202,474,202,484,140,484
