29,7,121,8,121,30,29,29
157,24,169,24,169,34,157,34
170,25,188,25,188,34,170,34
188,24,221,24,221,34,188,34
224,25,273,25,273,34,224,34
27,47,212,44,214,138,28,140
141,156,170,156,170,174,141,174
21,157,137,157,137,177,21,177
173,157,248,157,248,177,173,177
252,157,295,161,294,178,250,174
20,182,76,182,76,197,20,197
80,181,181,182,181,200,79,198
20,206,53,206,53,221,20,221
56,206,149,208,149,226,55,224
20,229,48,233,46,249,18,244
52,230,133,230,133,245,52,245
216,233,228,233,228,245,216,245
249,241,260,241,260,254,249,254
273,248,284,248,284,257,273,257
308,250,318,250,318,264,308,264
20,254,56,256,55,271,19,269
57,254,117,254,117,269,57,269
245,256,257,256,257,265,245,265
282,257,301,257,301,265,282,265
350,262,361,262,361,273,350,273
305,264,316,264,316,273,305,273
361,277,372,277,372,285,361,285
20,278,44,278,44,294,20,294
46,276,115,280,114,296,46,293
356,292,366,292,366,297,356,297
