349,48,406,50,405,72,348,70
312,54,341,54,341,74,312,74
274,80,328,80,328,100,274,100
360,79,439,81,438,103,359,101
337,84,349,84,349,100,337,100
296,233,309,233,309,245,296,245
314,233,365,233,365,245,314,245
370,233,412,233,412,246,370,246
289,248,322,248,322,256,289,256
352,248,377,248,377,257,352,257
324,249,333,249,333,257,324,257
334,249,350,249,350,257,334,257
380,248,411,250,410,259,379,257
410,249,418,249,418,257,410,257
273,285,320,285,320,293,273,293
322,285,354,285,354,293,322,293
356,285,396,285,396,294,356,294
400,286,433,286,433,294,400,294
329,294,348,294,348,298,329,298
341,302,362,302,362,310,341,310
