4,13,76,13,76,32,4,32
77,11,147,15,146,31,76,27
149,13,168,13,168,28,149,28
2,42,173,42,173,77,2,77
5,73,68,73,68,105,5,105
0,118,8,118,8,126,0,126
9,118,41,118,41,128,9,128
14,120,63,117,65,137,16,140
1,129,17,129,17,137,1,137
61,129,70,129,70,137,61,137
20,138,70,138,70,149,20,149
1,140,20,140,20,148,1,148
1,149,6,149,6,157,1,157
29,149,69,149,69,158,29,158
9,150,28,150,28,158,9,158
1,168,16,168,16,177,1,177
17,169,46,169,46,178,17,178
73,169,102,169,102,177,73,177
50,170,74,170,74,180,50,180
84,176,102,176,102,188,84,188
0,180,23,177,25,187,1,191
25,178,36,178,36,188,25,188
36,177,85,179,85,190,35,187
2,457,22,457,22,464,2,464
15,454,74,464,71,482,12,471
42,457,56,457,56,464,42,464
70,464,90,464,90,472,70,472
4,465,13,465,13,470,4,470
4,472,16,472,16,480,4,480
16,473,33,473,33,478,16,478
2,480,25,480,25,486,2,486
28,479,44,481,43,487,27,485
45,481,62,481,62,489,45,489
4,488,26,488,26,494,4,494
